Municipio código	Municipio nombre	Personalidad jurídica	Explotaciones
50270	Urriés	Otras condiciones jurídicas	1
50270	Urriés	Persona física	17
50271	Used	Otras condiciones jurídicas	2
50271	Used	Persona física	99
50272	Utebo	Entidad pública	1
50272	Utebo	Otras condiciones jurídicas	5
50272	Utebo	Persona física	53
50272	Utebo	Sociedad mercantil	2
50273	Valdehorna	Persona física	17
50274	Val de San Martín	Persona física	21
50275	Valmadrid	Otras condiciones jurídicas	1
50275	Valmadrid	Persona física	16
50276	Valpalmas	Otras condiciones jurídicas	5
50276	Valpalmas	Persona física	25
50277	Valtorres	Persona física	15
50278	Velilla de Ebro	Otras condiciones jurídicas	4
50278	Velilla de Ebro	Persona física	27
50278	Velilla de Ebro	Sociedad mercantil	2
50279	Velilla de Jiloca	Persona física	25
50279	Velilla de Jiloca	Sociedad mercantil	1
50280	Vera de Moncayo	Otras condiciones jurídicas	1
50280	Vera de Moncayo	Persona física	69
50280	Vera de Moncayo	Sociedad mercantil	2
50281	Vierlas	Persona física	21
50281	Vierlas	Sociedad mercantil	1
50282	Vilueña (La)	Persona física	37
50283	Villadoz	Otras condiciones jurídicas	1
50283	Villadoz	Persona física	23
50284	Villafeliche	Entidad pública	1
50284	Villafeliche	Otras condiciones jurídicas	2
50284	Villafeliche	Persona física	20
50285	Villafranca de Ebro	Entidad pública	1
50285	Villafranca de Ebro	Otras condiciones jurídicas	2
50285	Villafranca de Ebro	Persona física	53
50285	Villafranca de Ebro	Sociedad mercantil	4
50286	Villalba de Perejil	Persona física	25
50287	Villalengua	Persona física	67
50288	Villanueva de Gállego	Entidad pública	1
50288	Villanueva de Gállego	Otras condiciones jurídicas	11
50288	Villanueva de Gállego	Persona física	83
50288	Villanueva de Gállego	Sociedad mercantil	2
50289	Villanueva de Jiloca	Persona física	14
50289	Villanueva de Jiloca	Sociedad mercantil	1
50290	Villanueva de Huerva	Entidad pública	1
50290	Villanueva de Huerva	Otras condiciones jurídicas	4
50290	Villanueva de Huerva	Persona física	86
50290	Villanueva de Huerva	Sociedad mercantil	1
50291	Villar de los Navarros	Persona física	46
50292	Villarreal de Huerva	Entidad pública	1
50292	Villarreal de Huerva	Otras condiciones jurídicas	1
50292	Villarreal de Huerva	Persona física	14
50292	Villarreal de Huerva	Sociedad cooperativa	2
50293	Villarroya de la Sierra	Otras condiciones jurídicas	1
50293	Villarroya de la Sierra	Persona física	131
50293	Villarroya de la Sierra	Sociedad mercantil	1
50294	Villarroya del Campo	Persona física	21
50295	Vistabella	Persona física	6
50296	Zaida (La)	Otras condiciones jurídicas	1
50296	Zaida (La)	Persona física	33
50297	Zaragoza	Entidad pública	4
50297	Zaragoza	Otras condiciones jurídicas	52
50297	Zaragoza	Persona física	825
50297	Zaragoza	Sociedad cooperativa	8
50297	Zaragoza	Sociedad mercantil	32
50298	Zuera	Entidad pública	1
50298	Zuera	Otras condiciones jurídicas	17
50298	Zuera	Persona física	338
50298	Zuera	Sociedad cooperativa	3
50298	Zuera	Sociedad mercantil	7
50901	Biel	Persona física	27
50901	Biel	Sociedad mercantil	1
50902	Marracos	Otras condiciones jurídicas	2
50902	Marracos	Persona física	15
50903	Villamayor de Gállego	Otras condiciones jurídicas	3
50903	Villamayor de Gállego	Persona física	160
50903	Villamayor de Gállego	Sociedad cooperativa	1
50903	Villamayor de Gállego	Sociedad mercantil	3
